"lon","lat","grids","continent","WE","sd_MAT","sd_MAP","sd_NPP","sd_ALT"
1512047.7701,-6902330.3263,"v15633","Antarctica",0.142115676618454,NA,NA,NA,NA
412047.770100001,2097669.6737,"v15634","Africa",17.8044888995924,0.979666795231928,13.894711288623,4943729120.10044,16.6332166152043
512047.770100001,2097669.6737,"v15636","Africa",16.3120809774054,1.25089614889353,12.0712087567347,3257749305.0339,16.8146634228784
1712047.7701,-6902330.3263,"v15637","Antarctica",0.142115676618454,NA,NA,NA,NA
612047.770100001,2097669.6737,"v15638","Africa",17.8439453019678,2.26383512570857,14.6420043431673,3959688065.03004,36.975291509495
1812047.7701,-6902330.3263,"v15639","Antarctica",0.142115676618454,NA,NA,NA,NA
712047.770100001,2097669.6737,"v15640","Africa",19.3926858150157,2.07976946141607,16.8701701319531,3053821198.23,38.1973090923276
812047.770100001,2097669.6737,"v15642","Africa",15.8377460484802,2.91298734679878,16.1284400158179,4486812526.24787,44.4608859014797
912047.770100001,2097669.6737,"v15644","Africa",11.360649387634,1.79818022592911,13.3750855022685,2474987328.81529,31.4954633612855
1012047.7701,2097669.6737,"v15646","Africa",8.57771564231693,0.677143126815215,8.06398445924041,1935755697.37208,25.7117802124377
1112047.7701,2097669.6737,"v15648","Africa",6.63616670428314,1.25001092821996,5.64574726979704,4288213324.96723,19.628546576112
1212047.7701,2097669.6737,"v15650","Africa",3.83569892161405,0.870603241812181,4.60907680297491,2403964309.21814,11.5256739138081
1312047.7701,2097669.6737,"v15652","Africa",2.92300198789266,2.13265159037269,5.48931135886427,1671163807.97018,28.632269488161
1412047.7701,2097669.6737,"v15654","Africa",2.61757940707825,2.24423658999212,7.30955131369709,1531061899.776,21.4636109162125
2612047.7701,-6902330.3263,"v15655","Antarctica",0.142115676618454,NA,NA,NA,NA
1512047.7701,2097669.6737,"v15656","Africa",2.40512395225636,2.25597504749722,8.0135904709549,1196739126.74243,25.1428089692385
2712047.7701,-6902330.3263,"v15657","Antarctica",0.142115676618454,NA,NA,NA,NA
1612047.7701,2097669.6737,"v15658","Africa",3.38723695489666,1.63281974507993,7.89133236955035,2664982950.55752,16.3390787212771
2812047.7701,-6902330.3263,"v15659","Antarctica",0.142115676618454,NA,NA,NA,NA
1712047.7701,2097669.6737,"v15660","Africa",4.58859333791448,0.801474924435114,6.20700041018376,3623450541.1077,17.732428124153
2912047.7701,-6902330.3263,"v15661","Antarctica",0.142115676618454,NA,NA,NA,NA
1812047.7701,2097669.6737,"v15662","Africa",7.54081071333624,1.40097036563089,6.48108781872991,3212838449.85599,45.9798216940778
3012047.7701,-6902330.3263,"v15663","Antarctica",0.142115676618454,NA,NA,NA,NA
1912047.7701,2097669.6737,"v15664","Africa",9.5358139567386,1.62177990423557,10.3055343491263,4136588127.91208,27.081223154488
3112047.7701,-6902330.3263,"v15665","Antarctica",0.142115676618454,NA,NA,NA,NA
2012047.7701,2097669.6737,"v15666","Africa",11.8289539227406,1.57757795229715,10.3502729062618,4096499045.82851,31.7022929893064
3212047.7701,-6902330.3263,"v15667","Antarctica",0.142115676618454,NA,NA,NA,NA
2112047.7701,2097669.6737,"v15668","Africa",16.1211268887897,10.2588025766564,8.2381188019232,2067502603.47991,151.248264359271
3312047.7701,-6902330.3263,"v15669","Antarctica",0.011464302328838,NA,NA,NA,NA
2212047.7701,2097669.6737,"v15670","Africa",16.5019828338147,6.04583919665817,8.95976266256037,2746931148.93908,102.272623762799
3412047.7701,-6902330.3263,"v15671","Antarctica",0.142115676618454,NA,NA,NA,NA
2312047.7701,2097669.6737,"v15672","Africa",11.6688277664305,2.88957504289336,9.72592030177679,3371152147.17092,62.4838354433876
3512047.7701,-6902330.3263,"v15673","Antarctica",0.142115676618454,NA,NA,NA,NA
2412047.7701,2097669.6737,"v15674","Africa",6.67751235171686,1.48404592544689,10.4052545770704,5562460321.07659,34.9355905636077
3612047.7701,-6902330.3263,"v15675","Antarctica",0.142115676618454,NA,NA,NA,NA
2512047.7701,2097669.6737,"v15676","Africa",6.28973994583906,2.8238441895322,11.8286585138519,4776628555.1193,66.9465734183906
3712047.7701,-6902330.3263,"v15677","Antarctica",0.142115676618454,NA,NA,NA,NA
2612047.7701,2097669.6737,"v15678","Africa",6.19527378824377,2.96928744729987,10.5451524432002,2615838395.6961,65.7776492267139
3812047.7701,-6902330.3263,"v15679","Antarctica",0.142115676618454,NA,NA,NA,NA
2712047.7701,2097669.6737,"v15680","Africa",6.28186660621688,2.6773517308441,9.3016150676637,597064268.781522,44.8694791772116
3912047.7701,-6902330.3263,"v15681","Antarctica",0.012379838880075,NA,NA,NA,NA
2812047.7701,2097669.6737,"v15682","Africa",8.97094942374773,3.04258664506291,7.62949942899687,2058498270.0384,58.8542060489414
4012047.7701,-6902330.3263,"v15683","Antarctica",0.011464302328838,NA,NA,NA,NA
2912047.7701,2097669.6737,"v15684","Africa",14.34625323536,3.30331503126838,9.25005693159985,5214987387.67839,68.3093400963266
4112047.7701,-6902330.3263,"v15685","Antarctica",0.000635318751987,NA,NA,NA,NA
