"grids","WE","sd_ALT","sd_MAP","sd_MAT","sd_NPP","lon","lat"
"v13336",1649.89320820597,866.150157352156,495.985863247973,4.52826569968839,136155057857.88,9212047.7701,3497669.6737
"v13337",1470.1162554743,745.50736338849,341.642381834073,4.8610166846543,86777483780.8463,9312047.7701,3497669.6737
"v13496",1319.58104218332,340.875028637634,262.326326242492,1.94282549305411,34376384538.1955,8112047.7701,3397669.6737
"v13497",1541.8080680196,747.280105491091,255.943180354826,3.95082196832085,51633995666.5286,8212047.7701,3397669.6737
"v13500",1240.21672019451,1442.5907317418,823.810592056098,9.71426999572496,89115612515.287,8512047.7701,3397669.6737
"v13504",1379.55964175813,1328.97253657383,465.5863876937,8.4435413316348,121362297452.016,8912047.7701,3397669.6737
"v13505",1531.26671455448,626.56859925441,464.766752796986,3.38585316994452,66887417433.7671,9012047.7701,3397669.6737
"v13506",1500.45805459382,542.869848209038,379.40306096129,2.41156303087406,67106815857.4503,9112047.7701,3397669.6737
"v13507",1407.14528896341,201.009980295305,94.8886682862591,0.971628542214636,61238687662.2146,9212047.7701,3397669.6737
"v13508",1898.46579015779,999.396266526643,541.453056010381,4.95891054528867,105947958038.488,9312047.7701,3397669.6737
"v13509",1427.90971490517,1090.08520193089,870.300000619653,6.02274869001647,131737595058.551,9412047.7701,3397669.6737
"v1353",1561.74644403359,240.133938967821,117.974242502744,1.51267249389895,42195703202.9273,2712047.7701,-202330.326300001
"v1354",2890.21991726667,387.8406845752,182.539409038967,1.87487910998987,137029459666.86,2812047.7701,-202330.326300001
"v1355",2135.06698976582,255.705023771398,140.058071523218,1.62054882760335,33622248515.3417,2912047.7701,-202330.326300001
"v1361",1368.1074415738,398.430695274135,165.635577918006,3.3990771351827,137808518821.692,3512047.7701,-202330.326300001
"v13669",1694.68220304858,601.493628313377,325.239887902229,2.62762929189815,73430047052.6019,8412047.7701,3297669.6737
"v13670",2005.70425750916,746.745154918621,590.864959449355,3.59477023327419,68361469187.4123,8512047.7701,3297669.6737
"v13671",1735.74819214429,1059.99506404289,704.717019071781,5.12819472812058,83880657153.5549,8612047.7701,3297669.6737
"v13672",1951.07139856091,837.173799881533,688.832716247966,3.80813491142969,54818734382.7543,8712047.7701,3297669.6737
"v13673",1847.71297871507,849.837610267641,562.565806592664,3.76178582718706,66228411699.51,8812047.7701,3297669.6737
"v13674",2555.38133235512,799.708929835871,333.240164965222,3.5330490936354,94617737041.0981,8912047.7701,3297669.6737
"v13675",1480.98033085392,402.772938966668,283.357373397994,1.8530465811686,118047625872.903,9012047.7701,3297669.6737
"v13676",1672.84201698347,255.67761560374,297.71017550136,1.35066104688495,63380972141.8754,9112047.7701,3297669.6737
"v13677",1637.50071682661,526.055859096,205.673518747028,2.29098153750082,79807979707.8956,9212047.7701,3297669.6737
"v13678",1425.18675672738,516.896252663048,278.897414684268,2.19549590981363,135377244429.901,9312047.7701,3297669.6737
"v13679",1304.64083998069,535.551363654448,434.966330867953,2.31070773734178,157354626786.611,9412047.7701,3297669.6737
"v13680",1334.13538023272,675.667636296609,387.261075693801,3.56854738454309,90854021394.2889,9512047.7701,3297669.6737
"v13843",1237.91165330942,410.779695781637,746.168048981495,2.24944876125805,63848843243.6316,8912047.7701,3197669.6737
"v13844",1592.12055774969,271.513834284626,156.779892116619,1.58152893498469,77825519769.5908,9012047.7701,3197669.6737
"v13845",1551.76048299525,506.837090457169,100.944886467074,2.26645046457522,49381641376.4351,9112047.7701,3197669.6737
"v13849",1298.57931355808,641.703030246436,320.861763763261,3.24989191269317,93049094564.1731,9512047.7701,3197669.6737
"v1397",1496.17338848551,299.362685577228,184.879635061854,1.57561464449708,98612256698.1093,12812047.7701,-202330.326300001
"v1398",1853.56146071844,666.083740053604,154.140379979906,3.42407133362785,276028553553.657,12912047.7701,-202330.326300001
"v14",3631.08822909588,1021.32097642498,212.162509184552,6.17293145563537,157463211681.831,-6787952.2299,1097669.6737
